Overall rank,Country or region,Continent,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Region
29,Qatar,Asia,6.374,1.684,1.313,0.871,0.555,0.22,0.167,Middle East and Northern Africa
30,Spain,Europe,6.354,1.286,1.484,1.062,0.362,0.153,0.079,Western Europe
31,Panama,North America,6.321,1.149,1.442,0.91,0.516,0.109,0.054,Latin America and Caribbean
32,Brazil,South America,6.3,1.004,1.439,0.802,0.39,0.099,0.086,Latin America and Caribbean
33,Uruguay,South America,6.293,1.124,1.465,0.891,0.523,0.127,0.15,Latin America and Caribbean
34,Singapore,Asia,6.262,1.572,1.463,1.141,0.556,0.271,0.453,Southeastern Asia
35,El Salvador,North America,6.253,0.794,1.242,0.789,0.43,0.093,0.074,Latin America and Caribbean
36,Italy,Europe,6.223,1.294,1.488,1.039,0.231,0.158,0.03,Western Europe
37,Bahrain,Asia,6.199,1.362,1.368,0.871,0.536,0.255,0.11,Middle East and Northern Africa
38,Slovakia,Europe,6.198,1.246,1.504,0.881,0.334,0.121,0.014,Central and Eastern Europe
39,Trinidad & Tobago,Africa,6.192,1.231,1.477,0.713,0.489,0.185,0.016,Latin America and Caribbean
40,Poland,Europe,6.182,1.206,1.438,0.884,0.483,0.117,0.05,Central and Eastern Europe
41,Uzbekistan,Asia,6.174,0.745,1.529,0.756,0.631,0.322,0.24,Central and Eastern Europe
42,Lithuania,Europe,6.149,1.238,1.515,0.818,0.291,0.043,0.042,Central and Eastern Europe
43,Colombia,South America,6.125,0.985,1.41,0.841,0.47,0.099,0.034,Latin America and Caribbean
44,Slovenia,Europe,6.118,1.258,1.523,0.953,0.564,0.144,0.057,Central and Eastern Europe
45,Nicaragua,North America,6.105,0.694,1.325,0.835,0.435,0.2,0.127,Latin America and Caribbean
46,Kosovo,Europe,6.1,0.882,1.232,0.758,0.489,0.262,0.006,Central and Eastern Europe
47,Argentina,South America,6.086,1.092,1.432,0.881,0.471,0.066,0.05,Latin America and Caribbean
48,Romania,Europe,6.07,1.162,1.232,0.825,0.462,0.083,0.005,Central and Eastern Europe
49,Cyprus,Europe,6.046,1.263,1.223,1.042,0.406,0.19,0.041,Western Europe
50,Ecuador,South America,6.028,0.912,1.312,0.868,0.498,0.126,0.087,Latin America and Caribbean
51,Kuwait,Asia,6.021,1.5,1.319,0.808,0.493,0.142,0.097,Middle East and Northern Africa
52,Thailand,Asia,6.008,1.05,1.409,0.828,0.557,0.359,0.028,Southeastern Asia
53,Latvia,Europe,5.94,1.187,1.465,0.812,0.264,0.075,0.064,Central and Eastern Europe
54,South Korea,Asia,5.895,1.301,1.219,1.036,0.159,0.175,0.056,Eastern Asia
55,Estonia,Europe,5.893,1.237,1.528,0.874,0.495,0.103,0.161,Central and Eastern Europe
56,Jamaica,North America,5.89,0.831,1.478,0.831,0.49,0.107,0.028,Latin America and Caribbean
57,Mauritius,Africa,5.888,1.12,1.402,0.798,0.498,0.215,0.06,Sub-Saharan Africa
58,Japan,Asia,5.886,1.327,1.419,1.088,0.445,0.069,0.14,Eastern Asia
59,Honduras,North America,5.86,0.642,1.236,0.828,0.507,0.246,0.078,Latin America and Caribbean
60,Kazakhstan,Asia,5.809,1.173,1.508,0.729,0.41,0.146,0.096,Central and Eastern Europe
61,Bolivia,South America,5.779,0.776,1.209,0.706,0.511,0.137,0.064,Latin America and Caribbean
62,Hungary,Europe,5.758,1.201,1.41,0.828,0.199,0.081,0.02,Central and Eastern Europe
63,Paraguay,South America,5.743,0.855,1.475,0.777,0.514,0.184,0.08,Latin America and Caribbean
64,Northern Cyprus,Africa,5.718,1.263,1.252,1.042,0.417,0.191,0.162,Central and Eastern Europe
65,Peru,South America,5.697,0.96,1.274,0.854,0.455,0.083,0.027,Latin America and Caribbean
66,Portugal,Europe,5.693,1.221,1.431,0.999,0.508,0.047,0.025,Western Europe
67,Pakistan,Asia,5.653,0.677,0.886,0.535,0.313,0.22,0.098,Southern Asia
68,Russia,Europe,5.648,1.183,1.452,0.726,0.334,0.082,0.031,Central and Eastern Europe
69,Philippines,Asia,5.631,0.807,1.293,0.657,0.558,0.117,0.107,Southeastern Asia
70,Serbia,Europe,5.603,1.004,1.383,0.854,0.282,0.137,0.039,Central and Eastern Europe
71,Moldova,Europe,5.529,0.685,1.328,0.739,0.245,0.181,0,Central and Eastern Europe
72,Libya,Africa,5.525,1.044,1.303,0.673,0.416,0.133,0.152,Middle East and Northern Africa
73,Montenegro,Europe,5.523,1.051,1.361,0.871,0.197,0.142,0.08,Central and Eastern Europe
74,Tajikistan,Asia,5.467,0.493,1.098,0.718,0.389,0.23,0.144,Central and Eastern Europe
75,Croatia,Europe,5.432,1.155,1.266,0.914,0.296,0.119,0.022,Central and Eastern Europe
76,Hong Kong,Africa,5.43,1.438,1.277,1.122,0.44,0.258,0.287,Eastern Asia
77,Dominican Republic,North America,5.425,1.015,1.401,0.779,0.497,0.113,0.101,Latin America and Caribbean
78,Bosnia and Herzegovina,Europe,5.386,0.945,1.212,0.845,0.212,0.263,0.006,Central and Eastern Europe
79,Turkey,Asia,5.373,1.183,1.36,0.808,0.195,0.083,0.106,Middle East and Northern Africa
80,Malaysia,Asia,5.339,1.221,1.171,0.828,0.508,0.26,0.024,Southeastern Asia
81,Belarus,Europe,5.323,1.067,1.465,0.789,0.235,0.094,0.142,Central and Eastern Europe
82,Greece,Europe,5.287,1.181,1.156,0.999,0.067,0,0.034,Western Europe
83,Mongolia,Asia,5.285,0.948,1.531,0.667,0.317,0.235,0.038,Eastern Asia
84,North Macedonia,Africa,5.274,0.983,1.294,0.838,0.345,0.185,0.034,Central and Eastern Europe
85,Nigeria,Africa,5.265,0.696,1.111,0.245,0.426,0.215,0.041,Sub-Saharan Africa
86,Kyrgyzstan,Asia,5.261,0.551,1.438,0.723,0.508,0.3,0.023,Central and Eastern Europe
87,Turkmenistan,Asia,5.247,1.052,1.538,0.657,0.394,0.244,0.028,Central and Eastern Europe
88,Algeria,Africa,5.211,1.002,1.16,0.785,0.086,0.073,0.114,Middle East and Northern Africa
89,Morocco,Africa,5.208,0.801,0.782,0.782,0.418,0.036,0.076,Middle East and Northern Africa
90,Azerbaijan,Asia,5.208,1.043,1.147,0.769,0.351,0.035,0.182,Central and Eastern Europe
91,Lebanon,Asia,5.197,0.987,1.224,0.815,0.216,0.166,0.027,Middle East and Northern Africa
92,Indonesia,Asia,5.192,0.931,1.203,0.66,0.491,0.498,0.028,Southeastern Asia
93,China,Asia,5.191,1.029,1.125,0.893,0.521,0.058,0.1,Eastern Asia
94,Vietnam,Asia,5.175,0.741,1.346,0.851,0.543,0.147,0.073,Southeastern Asia
95,Bhutan,Asia,5.082,0.813,1.321,0.604,0.457,0.37,0.167,Southern Asia
96,Cameroon,Africa,5.044,0.549,0.91,0.331,0.381,0.187,0.037,Sub-Saharan Africa
97,Bulgaria,Europe,5.011,1.092,1.513,0.815,0.311,0.081,0.004,Central and Eastern Europe
98,Ghana,Africa,4.996,0.611,0.868,0.486,0.381,0.245,0.04,Sub-Saharan Africa
99,Ivory Coast,Africa,4.944,0.569,0.808,0.232,0.352,0.154,0.09,Sub-Saharan Africa
100,Nepal,Asia,4.913,0.446,1.226,0.677,0.439,0.285,0.089,Southern Asia
101,Jordan,Asia,4.906,0.837,1.225,0.815,0.383,0.11,0.13,Middle East and Northern Africa
102,Benin,Africa,4.883,0.393,0.437,0.397,0.349,0.175,0.082,Sub-Saharan Africa
103,Congo (Brazzaville),Africa,4.812,0.673,0.799,0.508,0.372,0.105,0.093,Sub-Saharan Africa
104,Gabon,Africa,4.799,1.057,1.183,0.571,0.295,0.043,0.055,Sub-Saharan Africa
105,Laos,Africa,4.796,0.764,1.03,0.551,0.547,0.266,0.164,Southeastern Asia
106,South Africa,Africa,4.722,0.96,1.351,0.469,0.389,0.13,0.055,Sub-Saharan Africa
107,Albania,Europe,4.719,0.947,0.848,0.874,0.383,0.178,0.027,Central and Eastern Europe
108,Venezuela,South America,4.707,0.96,1.427,0.805,0.154,0.064,0.047,Latin America and Caribbean
109,Cambodia,Asia,4.7,0.574,1.122,0.637,0.609,0.232,0.062,Southeastern Asia
110,Palestinian Territories,Asia,4.696,0.657,1.247,0.672,0.225,0.103,0.066,Middle East and Northern Africa
111,Senegal,Africa,4.681,0.45,1.134,0.571,0.292,0.153,0.072,Sub-Saharan Africa
112,Somalia,Africa,4.668,0,0.698,0.268,0.559,0.243,0.27,Sub-Saharan Africa
113,Namibia,Africa,4.639,0.879,1.313,0.477,0.401,0.07,0.056,Sub-Saharan Africa
114,Niger,Africa,4.628,0.138,0.774,0.366,0.318,0.188,0.102,Sub-Saharan Africa
115,Burkina Faso,Africa,4.587,0.331,1.056,0.38,0.255,0.177,0.113,Sub-Saharan Africa
116,Armenia,Asia,4.559,0.85,1.055,0.815,0.283,0.095,0.064,Central and Eastern Europe
117,Iran,Asia,4.548,1.1,0.842,0.785,0.305,0.27,0.125,Middle East and Northern Africa
118,Guinea,Africa,4.534,0.38,0.829,0.375,0.332,0.207,0.086,Sub-Saharan Africa
119,Georgia,Asia,4.519,0.886,0.666,0.752,0.346,0.043,0.164,Central and Eastern Europe
120,Gambia,Africa,4.516,0.308,0.939,0.428,0.382,0.269,0.167,Sub-Saharan Africa
121,Kenya,Africa,4.509,0.512,0.983,0.581,0.431,0.372,0.053,Sub-Saharan Africa
122,Mauritania,Africa,4.49,0.57,1.167,0.489,0.066,0.106,0.088,Sub-Saharan Africa
123,Mozambique,Africa,4.466,0.204,0.986,0.39,0.494,0.197,0.138,Sub-Saharan Africa
124,Tunisia,Africa,4.461,0.921,1,0.815,0.167,0.059,0.055,Middle East and Northern Africa
125,Bangladesh,Asia,4.456,0.562,0.928,0.723,0.527,0.166,0.143,Southern Asia
126,Iraq,Asia,4.437,1.043,0.98,0.574,0.241,0.148,0.089,Middle East and Northern Africa
127,Congo (Kinshasa),Africa,4.418,0.094,1.125,0.357,0.269,0.212,0.053,Sub-Saharan Africa
128,Mali,Africa,4.39,0.385,1.105,0.308,0.327,0.153,0.052,Sub-Saharan Africa
129,Sierra Leone,Africa,4.374,0.268,0.841,0.242,0.309,0.252,0.045,Sub-Saharan Africa
130,Sri Lanka,Asia,4.366,0.949,1.265,0.831,0.47,0.244,0.047,Southern Asia
131,Myanmar,Asia,4.36,0.71,1.181,0.555,0.525,0.566,0.172,Southeastern Asia
132,Chad,Africa,4.35,0.35,0.766,0.192,0.174,0.198,0.078,Sub-Saharan Africa
133,Ukraine,Europe,4.332,0.82,1.39,0.739,0.178,0.187,0.01,Central and Eastern Europe
134,Ethiopia,Africa,4.286,0.336,1.033,0.532,0.344,0.209,0.1,Sub-Saharan Africa
135,Swaziland,Africa,4.212,0.811,1.149,0,0.313,0.074,0.135,Sub-Saharan Africa
136,Uganda,Africa,4.189,0.332,1.069,0.443,0.356,0.252,0.06,Sub-Saharan Africa
137,Egypt,Africa,4.166,0.913,1.039,0.644,0.241,0.076,0.067,Middle East and Northern Africa
138,Zambia,Africa,4.107,0.578,1.058,0.426,0.431,0.247,0.087,Sub-Saharan Africa
139,Togo,Africa,4.085,0.275,0.572,0.41,0.293,0.177,0.085,Sub-Saharan Africa
140,India,Asia,4.015,0.755,0.765,0.588,0.498,0.2,0.085,Southern Asia
141,Liberia,Africa,3.975,0.073,0.922,0.443,0.37,0.233,0.033,Sub-Saharan Africa
142,Comoros,Africa,3.973,0.274,0.757,0.505,0.142,0.275,0.078,Sub-Saharan Africa
143,Madagascar,Africa,3.933,0.274,0.916,0.555,0.148,0.169,0.041,Sub-Saharan Africa
144,Lesotho,Africa,3.802,0.489,1.169,0.168,0.359,0.107,0.093,Sub-Saharan Africa
145,Burundi,Africa,3.775,0.046,0.447,0.38,0.22,0.176,0.18,Sub-Saharan Africa
146,Zimbabwe,Africa,3.663,0.366,1.114,0.433,0.361,0.151,0.089,Sub-Saharan Africa
147,Haiti,North America,3.597,0.323,0.688,0.449,0.026,0.419,0.11,Latin America and Caribbean
148,Botswana,Africa,3.488,1.041,1.145,0.538,0.455,0.025,0.1,Sub-Saharan Africa
149,Syria,Asia,3.462,0.619,0.378,0.44,0.013,0.331,0.141,Middle East and Northern Africa
150,Malawi,Africa,3.41,0.191,0.56,0.495,0.443,0.218,0.089,Sub-Saharan Africa
151,Yemen,Asia,3.38,0.287,1.163,0.463,0.143,0.108,0.077,Middle East and Northern Africa
152,Rwanda,Africa,3.334,0.359,0.711,0.614,0.555,0.217,0.411,Sub-Saharan Africa
153,Tanzania,Africa,3.231,0.476,0.885,0.499,0.417,0.276,0.147,Sub-Saharan Africa
154,Afghanistan,Asia,3.203,0.35,0.517,0.361,0,0.158,0.025,Southern Asia
155,Central African Republic,Africa,3.083,0.026,0,0.105,0.225,0.235,0.035,Sub-Saharan Africa
156,South Sudan,Africa,2.853,0.306,0.575,0.295,0.01,0.202,0.091,Sub-Saharan Africa
,Mainland China,Asia,,,,,,,,
,Republic of Korea,Asia,,,,,,,,
,USA,North America,,,,,,,,
,UK,Europe,,,,,,,,
,Macao,Asia,,,,,,,,
,Iran (Islamic Republic of),Asia,,,,,,,,
,Diamond Princess Cruise Ship,Others,,,,,,,,
,Oman,Asia,,,,,,,,
,San Marino,Europe,,,,,,,,
,Monaco,Europe,,,,,,,,
,Andorra,Europe,,,,,,,,
,Liechtenstein,Europe,,,,,,,,
,West Bank and Gaza,Asia,,,,,,,,
,Holy See (Vatican City),Europe,,,,,,,,
,Maldives,Asia,,,,,,,,
,"Moldova, Republic of",Europe,,,,,,,,
,Brunei,Asia,,,,,,,,
,Cote d'Ivoire,Africa,,,,,,,,
,Democratic Republic of the Congo,Africa,,,,,,,,
,Cuba,North America,,,,,,,,
,Guyana,South America,,,,,,,,
,Antigua and Barbuda,North America,,,,,,,,
,Sudan,Africa,,,,,,,,
,Eswatini,Africa,,,,,,,,
,Saint Lucia,North America,,,,,,,,
,Saint Vincent and the Grenadines,North America,,,,,,,,
,Western Sahara,Africa,,,,,,,,
,Seychelles,Africa,,,,,,,,
,Suriname,South America,,,,,,,,
,Trinidad and Tobago,South America,,,,,,,,
,Equatorial Guinea,Africa,,,,,,,,
,Republic of the Congo,Africa,,,,,,,,
,"Tanzania, United Republic of",Africa,,,,,,,,
,The Bahamas,North America,,,,,,,,
,Barbados,North America,,,,,,,,
,The Gambia,Africa,,,,,,,,
,Djibouti,Africa,,,,,,,,
,Fiji,Oceania,,,,,,,,
,Angola,Africa,,,,,,,,
,Cape Verde,Africa,,,,,,,,
,Papua New Guinea,Oceania,,,,,,,,
,Eritrea,Africa,,,,,,,,
,Dominica,North America,,,,,,,,
,Grenada,North America,,,,,,,,
,Timor-Leste,Asia,,,,,,,,
,Belize,North America,,,,,,,,
,Guinea-Bissau,Africa,,,,,,,,
,Lao People's Democratic Republic,Asia,,,,,,,,
,Saint Kitts and Nevis,North America,,,,,,,,
,Burma,Asia,,,,,,,,
,MS Zaandam Cruise Ship,Others,,,,,,,,
,Sao Tome and Principe,Africa,,,,,,,,
